ID,Bird species,Gender,Purchase Date,Purchase Cost,Purchased From,Weight at Purchase,Age at Purchase,Hatched Date,Remark,Breeding at Purchase
,DUSKY PIONUS ,MALE,2024,75000,,,,,,
,DUSKY PIONUS ,MALE,2024,75000,,,,,,
,DUSKY PIONUS ,MALE,2024,75000,,,,,,
,ECLECTUS PARROT ,FEMALE,2023,100000,,,,,,
,ECLECTUS PARROT ,MALE,2023,100000,,,,,,
,FORESTENS LORI ,FEMALE,x,x,,,,2024.0,,
,FORESTENS LORI ,FEMALE,x,x,,,,2024.0,,
,FORESTENS LORI ,FEMALE,x,x,,,,2024.0,,
,FORESTENS LORI ,FEMALE,x,x,,,,2024.0,,
,FORESTENS LORI ,FEMALE,x,x,,,,2024.0,,
,FORESTENS LORI ,FEMALE,x,x,,,,2024.0,,
,FORESTENS LORI ,FEMALE,,37500,,,,,,
,FORESTENS LORI ,FEMALE,,37500,,,,,,
,FORESTENS LORI ,FEMALE,,37500,,,,,,
,FORESTENS LORI ,FEMALE,,37500,,,,,,
,FORESTENS LORI ,FEMALE,,37500,,,,,,
,FORESTENS LORI ,MALE,,37500,,,,,,
,FORESTENS LORI ,MALE,,37500,,,,,,
,FORESTENS LORI ,MALE,,37500,,,,,,
,FORESTENS LORI ,MALE,,37500,,,,,,
,FORESTENS LORI ,MALE,,37500,,,,,,
,GOFFINS COCKATOO ,FEMALE,2023,57000,,,,,,
,GOFFINS COCKATOO ,MALE,2023,57000,,,,,,
,GOLDIES LORI ,FEMALE,2024,45000,,,,,,
,GOLDIES LORI ,MALE,2023,65000,,,,,,
,GOLDIES LORI ,MALE,2024,45000,,,,,,
,GREEN WING MACAW ,FEMALE,2017,165000,,,semi adult,,,0.0
,GREEN WING MACAW ,FEMALE,2023,350000,,,chick,,,0.0
,GREEN WING MACAW ,MALE,2017,165000,,,semi adult,,,0.0
,GREEN WING MACAW ,MALE,2023,200000,,,chick,,,0.0
,HANHNS MACAW ,FEMALE,2023,50000,,,,,,
,HANHNS MACAW ,FEMALE,2023,50000,,,,,,
,HANHNS MACAW ,FEMALE,2023,50000,,,,,,
,HANHNS MACAW ,MALE,2023,50000,,,,,,
,HANHNS MACAW ,MALE,2023,50000,,,,,,
,HANHNS MACAW ,MALE,2023,50000,,,,,,
,ILLIGER MACAW ,FEMALE,2022,75000,,,,,,
,ILLIGER MACAW ,MALE,2022,75000,,,,,,
,LESSER SULPHUR CRESTED COCKATOO ,FEMALE,2024,300000,,,,,,
,LESSER SULPHUR CRESTED COCKATOO ,MALE,2024,300000,,,,,,
,LILAC CROWNED AMAZON ,FEMALE,2023,150000,,,,,,
,LILAC CROWNED AMAZON ,MALE,2023,150000,,,,,,
,MAXIMILLIAN PIONUS ,FEMALE,2022,35000,,,,,,
,MAXIMILLIAN PIONUS ,FEMALE,2023,42500,,,,,,
,MAXIMILLIAN PIONUS ,MALE,2023,42500,,,,,,
,MAXIMILLIAN PIONUS ,MALE,2022,35000,,,,,,
,MAXIMILLIAN PIONUS ,MALE,2022,35000,,,,,,
,MAXIMILLIAN PIONUS ,MALE,x,,,,,1.0,,
,MILITARY MACAW ,FEMALE,2023,1000000,,,,,,
,MILITARY MACAW ,MALE,2023,1000000,,,,,,
,MULLUCAN COCKATOO ,FEMALE,2023,350000,,,,,,
,MULLUCAN COCKATOO ,MALE,2023,350000,,,,,,
,OLIVE SWAINSON LORI ,FEMALE,2022,37500,,,,,,
,OLIVE SWAINSON LORI ,FEMALE,2020,37500,,,,,,
,OLIVE SWAINSON LORI ,MALE,2022,37500,,,,,,
,OLIVE SWAINSON LORI ,MALE,2022,37500,,,,,,
,ORNATE LORI ,FEMALE,2022,37500,,,semi,,,0.0
,ORNATE LORI ,MALE,2022,37500,,,semi,,,0.0
,PERFECT LORI ,FEMALE,2022,40000,,,,,,
,PERFECT LORI ,MALE,2022,35000,,,,,,
,RAINBOW LORI ,FEMALE,2022,20000,,,,,,
,RAINBOW LORI ,FEMALE,2022,20000,,,,,,
,RAINBOW LORI ,FEMALE,2013,20000,,,,,,
,RAINBOW LORI ,MALE,2013,20000,,,,,,
,RAINBOW LORI ,MALE,2022,20000,,,,,,
,RAINBOW LORI ,MALE,2022,20000,,,,,,
,RED AND BLUE LORI ,FEMALE,2020,100000,,,,,,
,RED AND BLUE LORI ,FEMALE,2020,100000,,,,,,
,RED AND BLUE LORI ,MALE,2020,100000,,,,,,
,RED AND BLUE LORI ,MALE,2020,100000,,,,,,
,RED BELLIED MACAW ,FEMALE,2022,75000,,,,,,
,RED BELLIED MACAW ,MALE,2022,75000,,,,,,
,RED COLLARED LORI ,FEMALE,2022,20000,,,,,,
,RED COLLARED LORI ,MALE,2022,20000,,,,,,
,RED FRONTTED MACAW ,FEMALE,2023,850000,,,,,,
,RED FRONTTED MACAW ,MALE,2023,850000,,,,,,
,RED LORED AMAZON ,FEMALE,2023,110000,,,,,,
,RED LORED AMAZON ,MALE,2023,110000,,,,,,
,RED LORI ,FEMALE,2019,35000,,,,,,
,RED LORI ,FEMALE,2023,42500,,,,,,
